Height: 1100.0, Chord: 250.04, MaxThick%: 33.59
Height: 1060.0, Chord: 286.61, MaxThick%: 33.01
Height: 1020.0, Chord: 492.62, MaxThick%: 24.44
Height: 980.0, Chord: 791.79, MaxThick%: 19.19
Height: 940.0, Chord: 1044.85, MaxThick%: 17.62
Height: 900.0, Chord: 1261.50, MaxThick%: 17.11
Height: 860.0, Chord: 1447.62, MaxThick%: 17.05
Height: 820.0, Chord: 1607.55, MaxThick%: 17.24
Height: 780.0, Chord: 1747.42, MaxThick%: 17.55
Height: 740.0, Chord: 1873.33, MaxThick%: 17.91
Height: 700.0, Chord: 1989.17, MaxThick%: 18.27
Height: 660.0, Chord: 2095.36, MaxThick%: 18.63
Height: 620.0, Chord: 2190.93, MaxThick%: 19.01
Height: 580.0, Chord: 2275.61, MaxThick%: 19.40
Height: 540.0, Chord: 2350.05, MaxThick%: 19.78
Height: 500.0, Chord: 2415.45, MaxThick%: 20.16
Height: 460.0, Chord: 2472.65, MaxThick%: 20.51
Height: 420.0, Chord: 2522.26, MaxThick%: 20.84
Height: 380.0, Chord: 2564.43, MaxThick%: 21.14
Height: 340.0, Chord: 2598.70, MaxThick%: 21.42
Height: 300.0, Chord: 2624.17, MaxThick%: 21.68
Height: 260.0, Chord: 2639.93, MaxThick%: 21.93
Height: 220.0, Chord: 2644.72, MaxThick%: 22.19
Height: 180.0, Chord: 2636.61, MaxThick%: 22.48
Height: 140.0, Chord: 2612.09, MaxThick%: 22.82
Height: 100.0, Chord: 2564.64, MaxThick%: 23.28
Height: 60.0, Chord: 2486.08, MaxThick%: 23.94
Height: 20.0, Chord: 2372.85, MaxThick%: 24.86
Height: -20.0, Chord: 2228.13, MaxThick%: 26.04
Height: -60.0, Chord: 2050.78, MaxThick%: 27.53
Height: -100.0, Chord: 1829.46, MaxThick%: 29.51
Height: -140.0, Chord: 1537.48, MaxThick%: 32.54
Height: -180.0, Chord: 1117.92, MaxThick%: 38.27
Height: -220.0, Chord: 361.80, MaxThick%: 54.79
